text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,text_transformed,merged_lexicon
xmr),"Masekhet: 71001, Page: 008, Side: 2, Line: 30, Word: 16",noun sg. emphatic,,,,,חמרא,noun sg. emphatic
lyt,"Masekhet: 71001, Page: 008, Side: 2, Line: 30, Word: 17",V,,,,,לית,V
lN,"Masekhet: 71001, Page: 008, Side: 2, Line: 30, Word: 18",p02,,,,,לן,p02
bh;,"Masekhet: 71001, Page: 008, Side: 2, Line: 30, Word: 19",p02,,,,,בה;,p02
wl),"Masekhet: 71001, Page: 008, Side: 2, Line: 32, Word: 0",c,a,,,,ולא,c | a
)mrN,"Masekhet: 71001, Page: 008, Side: 2, Line: 32, Word: 1",verb G,,,,,אמרן,verb G
)l),"Masekhet: 71001, Page: 008, Side: 2, Line: 32, Word: 2",c,,,,,אלא,c
dl),"Masekhet: 71001, Page: 008, Side: 2, Line: 32, Word: 3",c,a,,,,דלא,c | a
mnx,"Masekhet: 71001, Page: 008, Side: 2, Line: 32, Word: 4",verb C,,,,,מנח,verb C
tply;,"Masekhet: 71001, Page: 008, Side: 2, Line: 32, Word: 5",noun pl. emphatic,,,,,תפלי;,noun pl. emphatic
)bl,"Masekhet: 71001, Page: 008, Side: 2, Line: 32, Word: 6",No data,,,,,אבל,No data
mnx,"Masekhet: 71001, Page: 008, Side: 2, Line: 32, Word: 7",verb C,,,,,מנח,verb C
tply,"Masekhet: 71001, Page: 008, Side: 2, Line: 32, Word: 8",noun pl. emphatic,,,,,תפלי,noun pl. emphatic
lyt,"Masekhet: 71001, Page: 008, Side: 2, Line: 32, Word: 9",V,,,,,לית,V
lN,"Masekhet: 71001, Page: 008, Side: 2, Line: 32, Word: 10",p02,,,,,לן,p02
bh,"Masekhet: 71001, Page: 008, Side: 2, Line: 32, Word: 11",p02,,,,,בה,p02
h),"Masekhet: 71001, Page: 008, Side: 2, Line: 42, Word: 0",P01,,,,,הא,P01
gwp),"Masekhet: 71001, Page: 008, Side: 2, Line: 42, Word: 1",noun sg. emphatic,,,,,גופא,noun sg. emphatic
q$y);,"Masekhet: 71001, Page: 008, Side: 2, Line: 42, Word: 2",A01,,,,,קשיא;,A01
)lm),"Masekhet: 71001, Page: 008, Side: 2, Line: 44, Word: 0",a,,,,,אלמא,a
ymm),"Masekhet: 71001, Page: 008, Side: 2, Line: 44, Word: 1",N,,,,,יממא,N
hw);,"Masekhet: 71001, Page: 008, Side: 2, Line: 44, Word: 2",P01,,,,,הוא;,P01
qry,"Masekhet: 71001, Page: 008, Side: 2, Line: 44, Word: 3",verb G,,,,,קרי,verb G
"""ywM""","Masekhet: 71001, Page: 008, Side: 2, Line: 44, Word: 4",No data,,,,,יום,No data
