text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,text_transformed,merged_lexicon
(d,"Masekhet: 71001, Page: 061, Side: 1, Line: 17, Word: 7",p01,,,,,עד,p01
m(ly $bt);,"Masekhet: 71001, Page: 061, Side: 1, Line: 17, Word: 8",noun sg. abs. or construct,noun sg. emphatic,,,,מעלי שבתא;,noun sg. abs. or construct | noun sg. emphatic
""")dM""","Masekhet: 71001, Page: 061, Side: 1, Line: 23, Word: 0",No data,,,,,אדם,No data
bry$',"Masekhet: 71001, Page: 061, Side: 1, Line: 23, Word: 1",noun sg. emphatic,,,,,בריש',noun sg. emphatic
whdr,"Masekhet: 71001, Page: 061, Side: 1, Line: 23, Word: 2",c,verb G,,,,והדר,c | verb G
"""wbhmh""","Masekhet: 71001, Page: 061, Side: 1, Line: 23, Word: 3",No data,,,,,ובהמה,No data
hy,"Masekhet: 71001, Page: 061, Side: 1, Line: 40, Word: 0",P01,,,,,הי,P01
mynyhw,"Masekhet: 71001, Page: 061, Side: 1, Line: 40, Word: 1",p02,,,,,מיניהו,p02
hwh,"Masekhet: 71001, Page: 061, Side: 1, Line: 40, Word: 2",verb G,,,,,הוה,verb G
sgy,"Masekhet: 71001, Page: 061, Side: 1, Line: 40, Word: 3",A01,,,,,סגי,A01
lyh,"Masekhet: 71001, Page: 061, Side: 1, Line: 40, Word: 4",p,,,,,ליה,p
bry$),"Masekhet: 71001, Page: 061, Side: 1, Line: 40, Word: 5",a,,,,,ברישא,a
..;,"Masekhet: 71001, Page: 061, Side: 1, Line: 40, Word: 6",No data,,,,,;,No data
mstbr),"Masekhet: 71001, Page: 061, Side: 1, Line: 40, Word: 7",verb Gt,,,,,מסתברא,verb Gt
gbr),"Masekhet: 71001, Page: 061, Side: 1, Line: 40, Word: 8",noun sg. emphatic,,,,,גברא,noun sg. emphatic
sgy,"Masekhet: 71001, Page: 061, Side: 1, Line: 40, Word: 9",A01,,,,,סגי,A01
mnwx,"Masekhet: 71001, Page: 061, Side: 1, Line: 47, Word: 0",No data,,,,,מנוח,No data
)py',"Masekhet: 71001, Page: 061, Side: 1, Line: 47, Word: 1",c,,,,,אפי',c
by rb,"Masekhet: 71001, Page: 061, Side: 1, Line: 47, Word: 2",noun sg. abs. or construct,,,,,בי רב,noun sg. abs. or construct
l),"Masekhet: 71001, Page: 061, Side: 1, Line: 47, Word: 3",a,,,,,לא,a
qr);,"Masekhet: 71001, Page: 061, Side: 1, Line: 47, Word: 4",verb G,,,,,קרא;,verb G
bry$);,"Masekhet: 71001, Page: 061, Side: 1, Line: 49, Word: 0",a,,,,,ברישא;,a
wl),"Masekhet: 71001, Page: 061, Side: 1, Line: 49, Word: 1",c,a,,,,ולא,c | a
)mrN,"Masekhet: 71001, Page: 061, Side: 1, Line: 49, Word: 2",verb G,,,,,אמרן,verb G
)l),"Masekhet: 71001, Page: 061, Side: 1, Line: 49, Word: 3",c,,,,,אלא,c
dlyk),"Masekhet: 71001, Page: 061, Side: 1, Line: 49, Word: 4",c,a,,,,דליכא,c | a
pytx),"Masekhet: 71001, Page: 061, Side: 1, Line: 49, Word: 5",noun sg. emphatic,,,,,פיתחא,noun sg. emphatic
)xryn);,"Masekhet: 71001, Page: 061, Side: 1, Line: 49, Word: 6",R,,,,,אחרינא;,R
wl),"Masekhet: 71001, Page: 061, Side: 1, Line: 49, Word: 7",c,a,,,,ולא,c | a
dry,"Masekhet: 71001, Page: 061, Side: 1, Line: 49, Word: 8",verb G,,,,,דרי,verb G
Twn);,"Masekhet: 71001, Page: 061, Side: 1, Line: 49, Word: 9",noun sg. emphatic,,,,,טונא;,noun sg. emphatic
wl),"Masekhet: 71001, Page: 061, Side: 1, Line: 50, Word: 0",c,a,,,,ולא,c | a
rkyb,"Masekhet: 71001, Page: 061, Side: 1, Line: 50, Word: 1",verb G,,,,,רכיב,verb G
xmr),"Masekhet: 71001, Page: 061, Side: 1, Line: 50, Word: 2",noun sg. emphatic,,,,,חמרא,noun sg. emphatic
wl),"Masekhet: 71001, Page: 061, Side: 1, Line: 50, Word: 3",c,a,,,,ולא,c | a
mnx,"Masekhet: 71001, Page: 061, Side: 1, Line: 50, Word: 4",verb C,,,,,מנח,verb C
"""tpylyN;","Masekhet: 71001, Page: 061, Side: 1, Line: 50, Word: 5",No data,,,,,תפילין;,No data
")bl""","Masekhet: 71001, Page: 061, Side: 1, Line: 50, Word: 6",No data,,,,,אבל,No data
)yt,"Masekhet: 71001, Page: 061, Side: 1, Line: 50, Word: 7",V,,,,,אית,V
xd,"Masekhet: 71001, Page: 061, Side: 1, Line: 50, Word: 8",n01,,,,,חד,n01
mhny,"Masekhet: 71001, Page: 061, Side: 1, Line: 50, Word: 9",P01,,,,,מהני,P01
lyt,"Masekhet: 71001, Page: 061, Side: 1, Line: 50, Word: 10",V,,,,,לית,V
lN,"Masekhet: 71001, Page: 061, Side: 1, Line: 50, Word: 11",p02,,,,,לן,p02
bh;,"Masekhet: 71001, Page: 061, Side: 1, Line: 50, Word: 12",p02,,,,,בה;,p02
l),"Masekhet: 71001, Page: 061, Side: 2, Line: 13, Word: 0",a,,,,,לא,a
$bq,"Masekhet: 71001, Page: 061, Side: 2, Line: 13, Word: 1",verb G,,,,,שבק,verb G
mr,"Masekhet: 71001, Page: 061, Side: 2, Line: 13, Word: 2",noun sg. emphatic,,,,,מר,noun sg. emphatic
xyy,"Masekhet: 71001, Page: 061, Side: 2, Line: 13, Word: 3",noun pl. emphatic,,,,,חיי,noun pl. emphatic
lbry;,"Masekhet: 71001, Page: 061, Side: 2, Line: 13, Word: 4",p03,noun sg. emphatic,,,,לברי;,p03 | noun sg. emphatic
yd(,"Masekhet: 71001, Page: 061, Side: 2, Line: 15, Word: 0",verb G,,,,,ידע,verb G
)yny$,"Masekhet: 71001, Page: 061, Side: 2, Line: 15, Word: 1",noun sg. abs. or construct,,,,,איניש,noun sg. abs. or construct
)y,"Masekhet: 71001, Page: 061, Side: 2, Line: 15, Word: 2",c,,,,,אי,c
"""cdyq","Masekhet: 71001, Page: 061, Side: 2, Line: 16, Word: 0",No data,,,,,צדיק,No data
"gmwr""","Masekhet: 71001, Page: 061, Side: 2, Line: 16, Word: 1",No data,,,,,גמור,No data
hw),"Masekhet: 71001, Page: 061, Side: 2, Line: 16, Word: 2",P01,,,,,הוא,P01
)y,"Masekhet: 71001, Page: 061, Side: 2, Line: 16, Word: 3",c,,,,,אי,c
l);,"Masekhet: 71001, Page: 061, Side: 2, Line: 16, Word: 4",a,,,,,לא;,a
"""wbglyl","Masekhet: 71001, Page: 061, Side: 2, Line: 53, Word: 0",No data,,,,,ובגליל,No data
cpwN,"Masekhet: 71001, Page: 061, Side: 2, Line: 53, Word: 1",No data,,,,,צפון,No data
"wdrwM""","Masekhet: 71001, Page: 061, Side: 2, Line: 53, Word: 2",No data,,,,,ודרום,No data
nmy,"Masekhet: 71001, Page: 061, Side: 2, Line: 53, Word: 3",a,,,,,נמי,a
""")swryN""","Masekhet: 71001, Page: 061, Side: 2, Line: 53, Word: 4",No data,,,,,אסורין,No data
ky hyky,"Masekhet: 71001, Page: 061, Side: 2, Line: 53, Word: 5",c,,,,,כי היכי,c
d)syry,"Masekhet: 71001, Page: 061, Side: 2, Line: 53, Word: 6",c,A03,,,,דאסירי,c | A03
"""mzrx","Masekhet: 71001, Page: 061, Side: 2, Line: 53, Word: 7",No data,,,,,מזרח,No data
"wm(rb"";","Masekhet: 71001, Page: 061, Side: 2, Line: 53, Word: 8",No data,,,,,ומערב;,No data
rbh,"Masekhet: 71001, Page: 061, Side: 2, Line: 57, Word: 0",No data,,,,,רבה,No data
hwh,"Masekhet: 71001, Page: 061, Side: 2, Line: 57, Word: 1",verb G,,,,,הוה,verb G
$dyyN,"Masekhet: 71001, Page: 061, Side: 2, Line: 57, Word: 2",verb G,,,,,שדיין,verb G
lyh,"Masekhet: 71001, Page: 061, Side: 2, Line: 57, Word: 3",p,,,,,ליה,p
hnK,"Masekhet: 71001, Page: 061, Side: 2, Line: 57, Word: 4",P01,,,,,הנך,P01
lbny,"Masekhet: 71001, Page: 061, Side: 2, Line: 57, Word: 5",noun pl. emphatic,,,,,לבני,noun pl. emphatic
"""mzrx","Masekhet: 71001, Page: 061, Side: 2, Line: 57, Word: 6",No data,,,,,מזרח,No data
"wm(rb"";","Masekhet: 71001, Page: 061, Side: 2, Line: 57, Word: 7",No data,,,,,ומערב;,No data
(l,"Masekhet: 71001, Page: 061, Side: 2, Line: 58, Word: 0",verb G,,,,,על,verb G
)byy,"Masekhet: 71001, Page: 061, Side: 2, Line: 58, Word: 1",No data,,,,,אביי,No data
)pkynhw;,"Masekhet: 71001, Page: 061, Side: 2, Line: 58, Word: 2",verb G,,,,,אפכינהו;,verb G
()l,"Masekhet: 71001, Page: 061, Side: 2, Line: 58, Word: 3",verb G,,,,,עאל,verb G
rbh,"Masekhet: 71001, Page: 061, Side: 2, Line: 58, Word: 4",No data,,,,,רבה,No data
trcynhw;,"Masekhet: 71001, Page: 061, Side: 2, Line: 58, Word: 5",verb D,,,,,תרצינהו;,verb D
)m';,"Masekhet: 71001, Page: 061, Side: 2, Line: 58, Word: 6",verb G,,,,,אמ';,verb G
m)N,"Masekhet: 71001, Page: 061, Side: 2, Line: 58, Word: 7",P01,,,,,מאן,P01
h)y,"Masekhet: 71001, Page: 061, Side: 2, Line: 58, Word: 8",P01,,,,,האי,P01
dq),"Masekhet: 71001, Page: 061, Side: 2, Line: 59, Word: 0",c,a,,,,דקא,c | a
mc(r,"Masekhet: 71001, Page: 061, Side: 2, Line: 59, Word: 1",verb D,,,,,מצער,verb D
ly;,"Masekhet: 71001, Page: 061, Side: 2, Line: 59, Word: 2",p02,,,,,לי;,p02
)n),"Masekhet: 71001, Page: 061, Side: 2, Line: 59, Word: 3",P01,,,,,אנא,P01
kr',"Masekhet: 71001, Page: 061, Side: 2, Line: 59, Word: 4",p02,,,,,כר',p02
(qyb',"Masekhet: 71001, Page: 061, Side: 2, Line: 59, Word: 5",No data,,,,,עקיב',No data
sbyr',"Masekhet: 71001, Page: 061, Side: 2, Line: 59, Word: 6",verb G,,,,,סביר',verb G
ly;,"Masekhet: 71001, Page: 061, Side: 2, Line: 59, Word: 7",p02,,,,,לי;,p02
ky,"Masekhet: 71001, Page: 062, Side: 1, Line: 09, Word: 0",c,,,,,כי,c
"""w)yN","Masekhet: 71001, Page: 062, Side: 1, Line: 12, Word: 0",No data,,,,,ואין,No data
npr(yN,"Masekhet: 71001, Page: 062, Side: 1, Line: 12, Word: 1",No data,,,,,נפרעין,No data
m(wmd,"Masekhet: 71001, Page: 062, Side: 1, Line: 12, Word: 2",No data,,,,,מעומד,No data
)l),"Masekhet: 71001, Page: 062, Side: 1, Line: 12, Word: 3",No data,,,,,אלא,No data
"myw$b""","Masekhet: 71001, Page: 062, Side: 1, Line: 12, Word: 4",No data,,,,,מיושב,No data
m$wM,"Masekhet: 71001, Page: 062, Side: 1, Line: 12, Word: 5",p01,,,,,משום,p01
cny(wt);,"Masekhet: 71001, Page: 062, Side: 1, Line: 12, Word: 6",noun sg. emphatic,,,,,צניעותא;,noun sg. emphatic
rb,"Masekhet: 71001, Page: 062, Side: 1, Line: 14, Word: 0",noun sg. emphatic,,,,,רב,noun sg. emphatic
khn),"Masekhet: 71001, Page: 062, Side: 1, Line: 14, Word: 1",No data,,,,,כהנא,No data
()l,"Masekhet: 71001, Page: 062, Side: 1, Line: 14, Word: 2",verb G,,,,,עאל,verb G
btryh,"Masekhet: 71001, Page: 062, Side: 1, Line: 14, Word: 3",p02,,,,,בתריה,p02
drb,"Masekhet: 71001, Page: 062, Side: 1, Line: 14, Word: 4",p,,,,,דרב,p
wytyb,"Masekhet: 71001, Page: 062, Side: 1, Line: 14, Word: 5",c,verb G,,,,ויתיב,c | verb G
twty,"Masekhet: 71001, Page: 062, Side: 1, Line: 14, Word: 6",p,,,,,תותי,p
pwryh,"Masekhet: 71001, Page: 062, Side: 1, Line: 14, Word: 7",noun sg. emphatic,,,,,פוריה,noun sg. emphatic
$m(yh,"Masekhet: 71001, Page: 062, Side: 1, Line: 14, Word: 8",verb G,,,,,שמעיה,verb G
"""d$x","Masekhet: 71001, Page: 062, Side: 1, Line: 14, Word: 9",No data,,,,,דשח,No data
w$xq,"Masekhet: 71001, Page: 062, Side: 1, Line: 14, Word: 10",No data,,,,,ושחק,No data
w($h,"Masekhet: 71001, Page: 062, Side: 1, Line: 14, Word: 11",No data,,,,,ועשה,No data
"crkyw"";","Masekhet: 71001, Page: 062, Side: 1, Line: 14, Word: 12",No data,,,,,צרכיו;,No data
)m';,"Masekhet: 71001, Page: 062, Side: 1, Line: 15, Word: 0",verb G,,,,,אמ';,verb G
dmy,"Masekhet: 71001, Page: 062, Side: 1, Line: 15, Word: 1",verb G,,,,,דמי,verb G
pwmyh,"Masekhet: 71001, Page: 062, Side: 1, Line: 15, Word: 2",noun sg. emphatic,,,,,פומיה,noun sg. emphatic
drb,"Masekhet: 71001, Page: 062, Side: 1, Line: 15, Word: 3",p,,,,,דרב,p
km)N,"Masekhet: 71001, Page: 062, Side: 1, Line: 15, Word: 4",P,,,,,כמאן,P
dl),"Masekhet: 71001, Page: 062, Side: 1, Line: 15, Word: 5",c,a,,,,דלא,c | a
T(yM,"Masekhet: 71001, Page: 062, Side: 1, Line: 15, Word: 6",verb G,,,,,טעים,verb G
tb$yl);,"Masekhet: 71001, Page: 062, Side: 1, Line: 15, Word: 7",noun sg. emphatic,,,,,תבשילא;,noun sg. emphatic
)'l;,"Masekhet: 71001, Page: 062, Side: 1, Line: 15, Word: 8",verb G,,,,,א'ל;,verb G
khn),"Masekhet: 71001, Page: 062, Side: 1, Line: 15, Word: 9",No data,,,,,כהנא,No data
)t;,"Masekhet: 71001, Page: 062, Side: 1, Line: 16, Word: 0",R,,,,,את;,R
pwq,"Masekhet: 71001, Page: 062, Side: 1, Line: 16, Word: 1",verb G,,,,,פוק,verb G
mhk),"Masekhet: 71001, Page: 062, Side: 1, Line: 16, Word: 2",p,a,,,,מהכא,p | a
dl)w,"Masekhet: 71001, Page: 062, Side: 1, Line: 16, Word: 3",c,a,,,,דלאו,c | a
)wrx )r();,"Masekhet: 71001, Page: 062, Side: 1, Line: 16, Word: 4",noun sg. emphatic,,,,,אורח ארעא;,noun sg. emphatic
)'l,"Masekhet: 71001, Page: 062, Side: 1, Line: 16, Word: 5",verb G,,,,,א'ל,verb G
"""twrh","Masekhet: 71001, Page: 062, Side: 1, Line: 16, Word: 6",No data,,,,,תורה,No data
hy),"Masekhet: 71001, Page: 062, Side: 1, Line: 16, Word: 7",No data,,,,,היא,No data
wllmwd,"Masekhet: 71001, Page: 062, Side: 1, Line: 16, Word: 8",No data,,,,,וללמוד,No data
)ny,"Masekhet: 71001, Page: 062, Side: 1, Line: 16, Word: 9",No data,,,,,אני,No data
"cryK"";","Masekhet: 71001, Page: 062, Side: 1, Line: 16, Word: 10",No data,,,,,צריך;,No data
hnhw,"Masekhet: 71001, Page: 062, Side: 1, Line: 24, Word: 0",P01,,,,,הנהו,P01
"""bty","Masekhet: 71001, Page: 062, Side: 1, Line: 24, Word: 1",No data,,,,,בתי,No data
"ks)wt""","Masekhet: 71001, Page: 062, Side: 1, Line: 24, Word: 2",No data,,,,,כסאות,No data
dhww,"Masekhet: 71001, Page: 062, Side: 1, Line: 24, Word: 3",c,verb G,,,,דהוו,c | verb G
bnhrd();,"Masekhet: 71001, Page: 062, Side: 1, Line: 24, Word: 4",p02,,,,,בנהרדעא;,p02
dky,"Masekhet: 71001, Page: 062, Side: 1, Line: 24, Word: 5",c,c,,,,דכי,c | c
(yyly,"Masekhet: 71001, Page: 062, Side: 1, Line: 24, Word: 6",verb G,,,,,עיילי,verb G
bhw,"Masekhet: 71001, Page: 062, Side: 1, Line: 24, Word: 7",p02,,,,,בהו,p02
try,"Masekhet: 71001, Page: 062, Side: 1, Line: 24, Word: 8",n02,,,,,תרי,n02
)py',"Masekhet: 71001, Page: 062, Side: 1, Line: 24, Word: 9",c,,,,,אפי',c
bymm),"Masekhet: 71001, Page: 062, Side: 1, Line: 24, Word: 10",p02,,,,,ביממא,p02
hww,"Masekhet: 71001, Page: 062, Side: 1, Line: 24, Word: 11",verb G,,,,,הוו,verb G
mytzqy;,"Masekhet: 71001, Page: 062, Side: 1, Line: 25, Word: 0",verb Ct,,,,,מיתזקי;,verb Ct
wr',"Masekhet: 71001, Page: 062, Side: 1, Line: 25, Word: 1",c,,,,,ור',c
)my,"Masekhet: 71001, Page: 062, Side: 1, Line: 25, Word: 2",No data,,,,,אמי,No data
wr',"Masekhet: 71001, Page: 062, Side: 1, Line: 25, Word: 3",c,,,,,ור',c
)sy,"Masekhet: 71001, Page: 062, Side: 1, Line: 25, Word: 4",No data,,,,,אסי,No data
hww,"Masekhet: 71001, Page: 062, Side: 1, Line: 25, Word: 5",verb G,,,,,הוו,verb G
(yyly,"Masekhet: 71001, Page: 062, Side: 1, Line: 25, Word: 6",verb G,,,,,עיילי,verb G
bhw,"Masekhet: 71001, Page: 062, Side: 1, Line: 25, Word: 7",p02,,,,,בהו,p02
kl,"Masekhet: 71001, Page: 062, Side: 1, Line: 25, Word: 8",noun sg. abs. or construct,,,,,כל,noun sg. abs. or construct
xd,"Masekhet: 71001, Page: 062, Side: 1, Line: 25, Word: 9",n01,,,,,חד,n01
wxd,"Masekhet: 71001, Page: 062, Side: 1, Line: 25, Word: 10",c,n01,,,,וחד,c | n01
lxwdyh,"Masekhet: 71001, Page: 062, Side: 1, Line: 25, Word: 11",p02,,,,,לחודיה,p02
)py',"Masekhet: 71001, Page: 062, Side: 1, Line: 25, Word: 12",c,,,,,אפי',c
blyly),"Masekhet: 71001, Page: 062, Side: 1, Line: 25, Word: 13",p02,noun sg. emphatic,,,,בליליא,p02 | noun sg. emphatic
wl),"Masekhet: 71001, Page: 062, Side: 1, Line: 25, Word: 14",c,a,,,,ולא,c | a
mytzqy;,"Masekhet: 71001, Page: 062, Side: 1, Line: 25, Word: 15",verb Ct,,,,,מיתזקי;,verb Ct
)mrw,"Masekhet: 71001, Page: 062, Side: 1, Line: 25, Word: 16",verb G,,,,,אמרו,verb G
lhw,"Masekhet: 71001, Page: 062, Side: 1, Line: 25, Word: 17",p02,,,,,להו,p02
rbnN;,"Masekhet: 71001, Page: 062, Side: 1, Line: 25, Word: 18",N,,,,,רבנן;,N
l),"Masekhet: 71001, Page: 062, Side: 1, Line: 25, Word: 19",a,,,,,לא,a
mystpytw;,"Masekhet: 71001, Page: 062, Side: 1, Line: 25, Word: 20",verb Gt,,,,,מיסתפיתו;,verb Gt
)mrw,"Masekhet: 71001, Page: 062, Side: 1, Line: 25, Word: 21",verb G,,,,,אמרו,verb G
lhw;,"Masekhet: 71001, Page: 062, Side: 1, Line: 26, Word: 0",p,,,,,להו;,p
)nN,"Masekhet: 71001, Page: 062, Side: 1, Line: 26, Word: 1",P01,,,,,אנן,P01
qybly,"Masekhet: 71001, Page: 062, Side: 1, Line: 26, Word: 2",noun pl. emphatic,,,,,קיבלי,noun pl. emphatic
gmrynN;,"Masekhet: 71001, Page: 062, Side: 1, Line: 26, Word: 3",verb G,,,,,גמרינן;,verb G
qybl),"Masekhet: 71001, Page: 062, Side: 1, Line: 26, Word: 4",noun sg. emphatic,,,,,קיבלא,noun sg. emphatic
"""dby'","Masekhet: 71001, Page: 062, Side: 1, Line: 26, Word: 5",No data,,,,,דבי',No data
"hks)""","Masekhet: 71001, Page: 062, Side: 1, Line: 26, Word: 6",No data,,,,,הכסא,No data
qybl),"Masekhet: 71001, Page: 062, Side: 1, Line: 27, Word: 0",noun sg. emphatic,,,,,קיבלא,noun sg. emphatic
$tyqwt),"Masekhet: 71001, Page: 062, Side: 1, Line: 27, Word: 0",noun sg. emphatic,,,,,שתיקותא,noun sg. emphatic
dbyt )syry,"Masekhet: 71001, Page: 062, Side: 1, Line: 27, Word: 1",c,N,,,,דבית אסירי,c | N
cny(wt);,"Masekhet: 71001, Page: 062, Side: 1, Line: 27, Word: 1",noun sg. emphatic,,,,,צניעותא;,noun sg. emphatic
$tyqwt),"Masekhet: 71001, Page: 062, Side: 1, Line: 27, Word: 2",noun sg. emphatic,,,,,שתיקותא,noun sg. emphatic
wmyb(y,"Masekhet: 71001, Page: 062, Side: 1, Line: 27, Word: 3",c,verb G,,,,ומיבעי,c | verb G
rxmy;,"Masekhet: 71001, Page: 062, Side: 1, Line: 27, Word: 4",noun pl. emphatic,,,,,רחמי;,noun pl. emphatic
)byy,"Masekhet: 71001, Page: 062, Side: 1, Line: 27, Word: 5",No data,,,,,אביי,No data
mrby),"Masekhet: 71001, Page: 062, Side: 1, Line: 27, Word: 6",verb D,,,,,מרביא,verb D
lyh,"Masekhet: 71001, Page: 062, Side: 1, Line: 27, Word: 7",p,,,,,ליה,p
)ymyh,"Masekhet: 71001, Page: 062, Side: 1, Line: 28, Word: 0",noun sg. emphatic,,,,,אימיה,noun sg. emphatic
)mrh,"Masekhet: 71001, Page: 062, Side: 1, Line: 28, Word: 0",verb G,,,,,אמרה,verb G
)ymr),"Masekhet: 71001, Page: 062, Side: 1, Line: 28, Word: 1",noun sg. emphatic,,,,,אימרא,noun sg. emphatic
lyh,"Masekhet: 71001, Page: 062, Side: 1, Line: 28, Word: 1",p,,,,,ליה,p
lmy(l,"Masekhet: 71001, Page: 062, Side: 1, Line: 28, Word: 2",p02,verb G,,,,למיעל,p02 | verb G
)ymyh,"Masekhet: 71001, Page: 062, Side: 1, Line: 28, Word: 2",noun sg. emphatic,,,,,אימיה,noun sg. emphatic
bhdyh,"Masekhet: 71001, Page: 062, Side: 1, Line: 28, Word: 3",p02,,,,,בהדיה,p02
lrmy,"Masekhet: 71001, Page: 062, Side: 1, Line: 28, Word: 3",p03,,,,,לרמי,p03
"""lbyt","Masekhet: 71001, Page: 062, Side: 1, Line: 28, Word: 4",No data,,,,,לבית,No data
br,"Masekhet: 71001, Page: 062, Side: 1, Line: 28, Word: 4",No data,,,,,בר,No data
"hks)"";","Masekhet: 71001, Page: 062, Side: 1, Line: 28, Word: 5",No data,,,,,הכסא;,No data
xm);,"Masekhet: 71001, Page: 062, Side: 1, Line: 28, Word: 5",No data,,,,,חמא;,No data
w)m)y;,"Masekhet: 71001, Page: 062, Side: 1, Line: 28, Word: 6",c,c,,,,ואמאי;,c | c
)y(wl,"Masekhet: 71001, Page: 062, Side: 1, Line: 28, Word: 6",verb G,,,,,איעול,verb G
wlyrby,"Masekhet: 71001, Page: 062, Side: 1, Line: 28, Word: 7",c,verb D,,,,ולירבי,c | verb D
bhdK,"Masekhet: 71001, Page: 062, Side: 1, Line: 28, Word: 7",p02,,,,,בהדך,p02
lyh,"Masekhet: 71001, Page: 062, Side: 1, Line: 28, Word: 8",p02,,,,,ליה,p02
"""lbyt","Masekhet: 71001, Page: 062, Side: 1, Line: 28, Word: 8",No data,,,,,לבית,No data
gdy);,"Masekhet: 71001, Page: 062, Side: 1, Line: 28, Word: 9",noun sg. emphatic,,,,,גדיא;,noun sg. emphatic
"hks)"";","Masekhet: 71001, Page: 062, Side: 1, Line: 28, Word: 9",No data,,,,,הכסא;,No data
m)y,"Masekhet: 71001, Page: 062, Side: 1, Line: 28, Word: 10",P01,,,,,מאי,P01
)m',"Masekhet: 71001, Page: 062, Side: 1, Line: 28, Word: 10",verb G,,,,,אמ',verb G
$n),"Masekhet: 71001, Page: 062, Side: 1, Line: 28, Word: 11",verb G,,,,,שנא,verb G
lh;,"Masekhet: 71001, Page: 062, Side: 1, Line: 28, Word: 11",p02,,,,,לה;,p02
)ymr);,"Masekhet: 71001, Page: 062, Side: 1, Line: 28, Word: 12",noun sg. emphatic,,,,,אימרא;,noun sg. emphatic
qybl),"Masekhet: 71001, Page: 062, Side: 1, Line: 28, Word: 12",noun sg. emphatic,,,,,קיבלא,noun sg. emphatic
m$wM,"Masekhet: 71001, Page: 062, Side: 1, Line: 28, Word: 13",c,,,,,משום,c
q),"Masekhet: 71001, Page: 062, Side: 1, Line: 28, Word: 13",a,,,,,קא,a
d)yqry,"Masekhet: 71001, Page: 062, Side: 1, Line: 28, Word: 14",c,verb Gt,,,,דאיקרי,c | verb Gt
gmyrn);,"Masekhet: 71001, Page: 062, Side: 1, Line: 28, Word: 14",verb G,,,,,גמירנא;,verb G
"""$(yr;","Masekhet: 71001, Page: 062, Side: 1, Line: 28, Word: 15",No data,,,,,שעיר;,No data
wm)y,"Masekhet: 71001, Page: 062, Side: 1, Line: 28, Word: 15",c,P01,,,,ומאי,c | P01
w$(yr,"Masekhet: 71001, Page: 062, Side: 1, Line: 28, Word: 16",No data,,,,,ושעיר,No data
hy);,"Masekhet: 71001, Page: 062, Side: 1, Line: 28, Word: 16",P01,,,,,היא;,P01
"b$(yr""","Masekhet: 71001, Page: 062, Side: 1, Line: 28, Word: 17",No data,,,,,בשעיר,No data
qybl',"Masekhet: 71001, Page: 062, Side: 1, Line: 28, Word: 17",noun sg. emphatic,,,,,קיבל',noun sg. emphatic
myxlP;,"Masekhet: 71001, Page: 062, Side: 1, Line: 28, Word: 18",verb Dt,,,,,מיחלף;,verb Dt
"""dbyt","Masekhet: 71001, Page: 062, Side: 1, Line: 28, Word: 18",No data,,,,,דבית,No data
"hks)"";","Masekhet: 71001, Page: 062, Side: 1, Line: 28, Word: 19",No data,,,,,הכסא;,No data
$tyqwt),"Masekhet: 71001, Page: 062, Side: 1, Line: 28, Word: 20",noun sg. emphatic,,,,,שתיקותא,noun sg. emphatic
cny(wt);,"Masekhet: 71001, Page: 062, Side: 1, Line: 28, Word: 21",noun sg. emphatic,,,,,צניעותא;,noun sg. emphatic
rb),"Masekhet: 71001, Page: 062, Side: 1, Line: 29, Word: 0",No data,,,,,רבא,No data
ky,"Masekhet: 71001, Page: 062, Side: 1, Line: 29, Word: 1",p01,,,,,כי,p01
hwh,"Masekhet: 71001, Page: 062, Side: 1, Line: 29, Word: 2",verb G,,,,,הוה,verb G
(yyl,"Masekhet: 71001, Page: 062, Side: 1, Line: 29, Word: 3",verb G,,,,,עייל,verb G
"""lbyt","Masekhet: 71001, Page: 062, Side: 1, Line: 29, Word: 4",No data,,,,,לבית,No data
"hks)"";","Masekhet: 71001, Page: 062, Side: 1, Line: 29, Word: 5",No data,,,,,הכסא;,No data
mqrq$),"Masekhet: 71001, Page: 062, Side: 1, Line: 29, Word: 6",verb quad,,,,,מקרקשא,verb quad
lyh,"Masekhet: 71001, Page: 062, Side: 1, Line: 29, Word: 7",p02,,,,,ליה,p02
bt,"Masekhet: 71001, Page: 062, Side: 1, Line: 29, Word: 8",noun sg. abs. or construct,,,,,בת,noun sg. abs. or construct
rb,"Masekhet: 71001, Page: 062, Side: 1, Line: 29, Word: 9",noun sg. emphatic,,,,,רב,noun sg. emphatic
xsd),"Masekhet: 71001, Page: 062, Side: 1, Line: 29, Word: 10",No data,,,,,חסדא,No data
)mgwz),"Masekhet: 71001, Page: 062, Side: 1, Line: 29, Word: 11",noun sg. emphatic,,,,,אמגוזא,noun sg. emphatic
blqwn),"Masekhet: 71001, Page: 062, Side: 1, Line: 29, Word: 12",p02,noun sg. emphatic,,,,בלקונא,p02 | noun sg. emphatic
ky,"Masekhet: 71001, Page: 062, Side: 1, Line: 30, Word: 0",p01,,,,,כי,p01
hwh,"Masekhet: 71001, Page: 062, Side: 1, Line: 30, Word: 1",verb G,,,,,הוה,verb G
ry$ mtybt),"Masekhet: 71001, Page: 062, Side: 1, Line: 30, Word: 2",noun sg. emphatic,,,,,ריש מתיבתא,noun sg. emphatic
(bd),"Masekhet: 71001, Page: 062, Side: 1, Line: 30, Word: 3",verb G,,,,,עבדא,verb G
