text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings,word_percentage_yersushalmi,Page,Side,Line
xnnyh,"Masekhet: 5330019, Page: 61, Side: c, Line: 57, Word: 4",PN Personal name,,,,,,,,,חנניה,xnnyh,proper name Personal name,,0.04474991681105208,61,,57
dhwh,"Masekhet: 5330019, Page: 61, Side: c, Line: 57, Word: 5",c,verb G,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,דהוה,hwy,conjunction | verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:",1.5777214260306822,61,,57
m$lx,"Masekhet: 5330019, Page: 61, Side: c, Line: 57, Word: 6",verb D,,,,,"to let loose, release, dismiss",to send objects (pl.),,,משלח,$lx,verb pael,"to let loose, release, dismiss | to send objects (pl.)",0.11933311149613889,61,,57
prnsthwN,"Masekhet: 5330019, Page: 61, Side: c, Line: 57, Word: 7",noun sg. emphatic,,,,,charitable support; sustenance,,,,פרנסתהון,prnsh,noun sg. emphatic,charitable support; sustenance,0.009179470115087606,61,,57
drbnN,"Masekhet: 5330019, Page: 61, Side: c, Line: 57, Word: 8",p,noun pl. emphatic,,,,chief; teacher,,,,דרבנן,rb,preposition | noun pl. emphatic,chief; teacher,1.192183681197003,61,,57
)m',"Masekhet: 5330019, Page: 61, Side: c, Line: 61, Word: 0",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:,4.212229349060825,61,,61
r',"Masekhet: 5330019, Page: 61, Side: c, Line: 61, Word: 1",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,61,,61
ywsh,"Masekhet: 5330019, Page: 61, Side: c, Line: 61, Word: 2",PN Personal name,,,,,,,,,יוסה,ywsh,proper name Personal name,,0.09294213491526201,61,,61
q$yyth,"Masekhet: 5330019, Page: 61, Side: c, Line: 61, Word: 3",verb D,,,,,to harden,to treat hard,to do with great difficulty,to make heavy,קשייתה,q$y,verb pael,to harden | to treat hard | to do with great difficulty | to make heavy,0.11130107514543723,61,,61
qwmy,"Masekhet: 5330019, Page: 61, Side: c, Line: 61, Word: 4",p01 C,,,,,before,,,,קומי,qwmy,preposition independent (h)aphel,before,0.5392938692613969,61,,61
r',"Masekhet: 5330019, Page: 61, Side: c, Line: 61, Word: 5",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,61,,61
b),"Masekhet: 5330019, Page: 61, Side: c, Line: 61, Word: 6",PN Personal name,,,,,,,,,בא,b),proper name Personal name,,0.16752532960034883,61,,61
w)m',"Masekhet: 5330019, Page: 61, Side: c, Line: 61, Word: 7",verb G,c,,,,to say,to command,to think,idiomatic and special usages:,ואמ',w_,verb peal | conjunction,to say | to command | to think | idiomatic and special usages:,5.046413695769412,61,,61
l),"Masekhet: 5330019, Page: 61, Side: c, Line: 61, Word: 8",a01 C,,,,,"no, not",,,,לא,l),a01 (h)aphel,"no, not",1.3195488290438433,61,,61
tnynN,"Masekhet: 5330019, Page: 61, Side: c, Line: 61, Word: 9",verb G,,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,תנינן,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]",0.5679797133710456,61,,61
)l),"Masekhet: 5330019, Page: 61, Side: c, Line: 61, Word: 10",c,,,,,but rather,,,,אלא,)l),conjunction,but rather,0.3545570331952588,61,,61
"""hnqh","Masekhet: 5330019, Page: 61, Side: c, Line: 61, Word: 11",No data,,,,,,,,,הנקה,None,No data,,23.98480797695953,61,,61
"bxTM""","Masekhet: 5330019, Page: 61, Side: c, Line: 61, Word: 12",No data,,,,,,,,,בחטם,None,No data,,23.98480797695953,61,,61
r',"Masekhet: 5330019, Page: 61, Side: d, Line: 03, Word: 0",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,61,,03
ywnh,"Masekhet: 5330019, Page: 61, Side: d, Line: 03, Word: 1",PN Personal name,,,,,,,,,יונה,ywnh,proper name Personal name,,0.11818567773175294,61,,03
bwcryyh,"Masekhet: 5330019, Page: 61, Side: d, Line: 03, Word: 2",A02,,,,,Bosran,,,,בוצרייה,bwcry,adjective singular determined,Bosran,0.005737168821929754,61,,03
