text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings,word_percentage_yersushalmi,Page,Side,Line
"""my","Masekhet: 5330032, Page: 08, Side: a, Line: 24, Word: 2",No data,,,,,,,,,מי,None,No data,,23.98480797695953,08,,24
$$y(bd,"Masekhet: 5330032, Page: 08, Side: a, Line: 24, Word: 3",No data,,,,,,,,,ששיעבד,None,No data,,23.98480797695953,08,,24
mqct,"Masekhet: 5330032, Page: 08, Side: a, Line: 24, Word: 4",No data,,,,,,,,,מקצת,None,No data,,23.98480797695953,08,,24
lmy,"Masekhet: 5330032, Page: 08, Side: a, Line: 24, Word: 5",No data,,,,,,,,,למי,None,No data,,23.98480797695953,08,,24
$l),"Masekhet: 5330032, Page: 08, Side: a, Line: 24, Word: 6",No data,,,,,,,,,שלא,None,No data,,23.98480797695953,08,,24
$y(bd,"Masekhet: 5330032, Page: 08, Side: a, Line: 24, Word: 7",No data,,,,,,,,,שיעבד,None,No data,,23.98480797695953,08,,24
kl,"Masekhet: 5330032, Page: 08, Side: a, Line: 24, Word: 8",No data,,,,,,,,,כל,None,No data,,23.98480797695953,08,,24
"(yqr""","Masekhet: 5330032, Page: 08, Side: a, Line: 24, Word: 9",No data,,,,,,,,,עיקר,None,No data,,23.98480797695953,08,,24
wtlythwN,"Masekhet: 5330032, Page: 08, Side: a, Line: 27, Word: 0",n01 C,c,,,,three,"and, also",,,ותליתהון,w_,numeral singular absolute or construct (h)aphel | conjunction,"three | and, also",5.046413695769412,08,,27
mtbrN,"Masekhet: 5330032, Page: 08, Side: a, Line: 27, Word: 1",verb Gt,,,,,"to be broken, break (middle voice)",fig.: to be made to fear,to be refuted,,מתברן,tbr,verb ethpeel,"to be broken, break (middle voice) | fig.: to be made to fear | to be refuted",0.019506373994561163,08,,27
r',"Masekhet: 5330032, Page: 08, Side: a, Line: 37, Word: 0",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,08,,37
xm),"Masekhet: 5330032, Page: 08, Side: a, Line: 37, Word: 1",PN Personal name,,,,,,,,,חמא,xm),proper name Personal name,,0.017211506465789263,08,,37
)bwy,"Masekhet: 5330032, Page: 08, Side: a, Line: 37, Word: 2",noun sg. emphatic,,,,,father,,,,אבוי,)b,noun sg. emphatic,father,0.10441647255912154,08,,37
